Index,Destination,DestCode,Origin,OrigCode,Immigrants,DestCodeA3,OrigCodeA3
6459,Burundi,108,Kenya,404,1377,BDI,KEN
6460,Burundi,108,Rwanda,646,85969,BDI,RWA
6461,Burundi,108,Uganda,800,1188,BDI,UGA
6462,Burundi,108,Tanzania,834,37409,BDI,TZA
6464,Burundi,108,DR Congo,180,224091,BDI,COD
6467,Burundi,108,Belgium,56,806,BDI,BEL
6468,Burundi,108,France,250,402,BDI,FRA
6469,Burundi,108,Others,2003,35859,BDI,###
6487,Comoros,174,Kenya,404,74,COM,KEN
6488,Comoros,174,Madagascar,450,9569,COM,MDG
6489,Comoros,174,Réunion,638,842,COM,REU
6490,Comoros,174,Tanzania,834,142,COM,TZA
6493,Comoros,174,France,250,477,COM,FRA
6494,Comoros,174,Others,2003,1345,COM,###
6507,Djibouti,262,Ethiopia,231,13235,DJI,ETH
6508,Djibouti,262,Somalia,706,99940,DJI,SOM
6511,Djibouti,262,Yemen,887,5600,DJI,YEM
6512,Djibouti,262,Others,2003,7221,DJI,###
6536,Eritrea,232,Burundi,108,820,ERI,BDI
6537,Eritrea,232,Comoros,174,149,ERI,COM
6538,Eritrea,232,Ethiopia,231,84,ERI,ETH
6539,Eritrea,232,Kenya,404,274,ERI,KEN
6540,Eritrea,232,Malawi,454,604,ERI,MWI
6541,Eritrea,232,Mozambique,508,867,ERI,MOZ
6542,Eritrea,232,Rwanda,646,365,ERI,RWA
6543,Eritrea,232,Somalia,706,1937,ERI,SOM
6544,Eritrea,232,South Sudan,728,1167,ERI,SSD
6545,Eritrea,232,Uganda,800,1195,ERI,UGA
6546,Eritrea,232,Tanzania,834,412,ERI,TZA
6547,Eritrea,232,Zambia,894,188,ERI,ZMB
6548,Eritrea,232,Zimbabwe,716,253,ERI,ZWE
6550,Eritrea,232,Angola,24,270,ERI,AGO
6551,Eritrea,232,DR Congo,180,1324,ERI,COD
6553,Eritrea,232,Sudan,729,163,ERI,SDN
6555,Eritrea,232,South Africa,710,95,ERI,ZAF
6558,Eritrea,232,China,156,105,ERI,CHN
6560,Eritrea,232,India,356,92,ERI,IND
6563,Eritrea,232,UK,826,43,ERI,GBR
6565,Eritrea,232,France,250,341,ERI,FRA
6566,Eritrea,232,Others,2003,1764,ERI,###
6585,Ethiopia,231,Burundi,108,130,ETH,BDI
6586,Ethiopia,231,Djibouti,262,1364,ETH,DJI
6587,Ethiopia,231,Eritrea,232,176860,ETH,ERI
6588,Ethiopia,231,Kenya,404,5564,ETH,KEN
6589,Ethiopia,231,Somalia,706,389246,ETH,SOM
6590,Ethiopia,231,South Sudan,728,443743,ETH,SSD
6591,Ethiopia,231,Uganda,800,18,ETH,UGA
6593,Ethiopia,231,DR Congo,180,1041,ETH,COD
6595,Ethiopia,231,Sudan,729,88958,ETH,SDN
6598,Ethiopia,231,China,156,26824,ETH,CHN
6600,Ethiopia,231,Syria,760,679,ETH,SYR
6601,Ethiopia,231,Yemen,887,2503,ETH,YEM
6602,Ethiopia,231,Others,2003,31525,ETH,###
6620,Kenya,404,Burundi,108,14270,KEN,BDI
6621,Kenya,404,Eritrea,232,1749,KEN,ERI
6622,Kenya,404,Ethiopia,231,30353,KEN,ETH
6623,Kenya,404,Mozambique,508,494,KEN,MOZ
6624,Kenya,404,Rwanda,646,5208,KEN,RWA
6625,Kenya,404,Somalia,706,401953,KEN,SOM
6626,Kenya,404,South Sudan,728,114885,KEN,SSD
6627,Kenya,404,Uganda,800,274655,KEN,UGA
6628,Kenya,404,Tanzania,834,32860,KEN,TZA
6630,Kenya,404,DR Congo,180,41186,KEN,COD
6632,Kenya,404,Sudan,729,9381,KEN,SDN
6634,Kenya,404,Namibia,516,55,KEN,NAM
6635,Kenya,404,South Africa,710,91,KEN,ZAF
6636,Kenya,404,Others,2003,65396,KEN,###
6657,Madagascar,450,Comoros,174,13199,MDG,COM
6660,Madagascar,450,China,156,2382,MDG,CHN
6662,Madagascar,450,India,356,1902,MDG,IND
6665,Madagascar,450,France,250,10776,MDG,FRA
6666,Madagascar,450,Others,2003,10366,MDG,###
6687,Malawi,454,Burundi,108,9834,MWI,BDI
6688,Malawi,454,Mozambique,508,39156,MWI,MOZ
6689,Malawi,454,Rwanda,646,6128,MWI,RWA
6690,Malawi,454,Somalia,706,100,MWI,SOM
6691,Malawi,454,Tanzania,834,6870,MWI,TZA
6692,Malawi,454,Zambia,894,30614,MWI,ZMB
6693,Malawi,454,Zimbabwe,716,26561,MWI,ZWE
6695,Malawi,454,Congo,178,1008,MWI,COG
6696,Malawi,454,DR Congo,180,27099,MWI,COD
6698,Malawi,454,South Africa,710,5907,MWI,ZAF
6701,Malawi,454,India,356,1727,MWI,IND
6704,Malawi,454,UK,826,1055,MWI,GBR
6705,Malawi,454,Others,2003,30660,MWI,###
6727,Mauritius,480,Madagascar,450,2321,MUS,MDG
6728,Mauritius,480,Seychelles,690,125,MUS,SYC
6730,Mauritius,480,South Africa,710,632,MUS,ZAF
6733,Mauritius,480,China,156,3007,MUS,CHN
6734,Mauritius,480,Hong Kong,344,22,MUS,HKG
6735,Mauritius,480,Japan,392,8,MUS,JPN
6737,Mauritius,480,Bangladesh,50,8488,MUS,BGD
6738,Mauritius,480,India,356,8855,MUS,IND
6739,Mauritius,480,Pakistan,586,189,MUS,PAK
6740,Mauritius,480,Sri Lanka,144,1147,MUS,LKA
6742,Mauritius,480,Malaysia,458,61,MUS,MYS
